[2.250000,2.250000,2.250000,2.250000,2.250000,2.250000,2.250000,2.250000]
[2.356412,2.356412,2.356412,2.356412,2.348355,2.348355,2.348355,2.348355]
[2.467857,2.467857,2.467857,2.467857,2.451010,2.451010,2.451010,2.451010]
[2.584573,2.584573,2.584573,2.584573,2.558152,2.558152,2.558152,2.558152]
[2.706808,2.706808,2.706808,2.706808,2.669978,2.669978,2.669978,2.669978]
[2.834825,2.834825,2.834825,2.834825,2.786692,2.786692,2.786692,2.786692]
[2.968896,2.968896,2.968896,2.968896,2.908508,2.908508,2.908508,2.908508]
[3.109308,3.109308,3.109308,3.109308,3.035649,3.035649,3.035649,3.035649]
[3.256361,3.256361,3.256361,3.256361,3.168348,3.168348,3.168348,3.168348]
[3.410368,3.410368,3.410368,3.410368,3.306847,3.306847,3.306847,3.306847]
[3.571659,3.571659,3.571659,3.571659,3.451401,3.451401,3.451401,3.451401]
[3.740578,3.740578,3.740578,3.740578,3.602274,3.602274,3.602274,3.602274]
[3.917486,3.917486,3.917486,3.917486,3.759742,3.759742,3.759742,3.759742]
[4.102761,4.102761,4.102761,4.102761,3.924093,3.924093,3.924093,3.924093]
[4.296799,4.296799,4.296799,4.296799,4.095629,4.095629,4.095629,4.095629]
[4.500013,4.500013,4.500013,4.500013,4.274663,4.274663,4.274663,4.274663]
[4.712838,4.712838,4.712838,4.712838,4.461523,4.461523,4.461523,4.461523]
[4.935728,4.935728,4.935728,4.935728,4.656552,4.656552,4.656552,4.656552]
[5.169160,5.169160,5.169160,5.169160,4.860106,4.860106,4.860106,4.860106]
[5.413632,5.413632,5.413632,5.413632,5.072558,5.072558,5.072558,5.072558]
[5.669666,5.669666,5.669666,5.669666,5.294297,5.294297,5.294297,5.294297]
[5.937809,5.937815,5.937809,5.937809,5.525729,5.525729,5.525729,5.525729]
[6.218634,6.218640,6.218634,6.218634,5.767278,5.767278,5.767278,5.767278]
[6.512740,6.512746,6.512740,6.512740,6.019386,6.019386,6.019386,6.019386]
[6.820755,6.820762,6.820755,6.820755,6.282514,6.282514,6.282514,6.282514]
[7.143338,7.143345,7.143338,7.143338,6.557144,6.557144,6.557144,6.557144]
[7.481178,7.481185,7.481178,7.481178,6.843786,6.843780,6.843780,6.843780]
[7.834995,7.835002,7.834995,7.834995,7.142952,7.142945,7.142945,7.142945]
[8.205546,8.205553,8.205546,8.205546,7.455195,7.455188,7.455188,7.455188]
[8.593621,8.593629,8.593621,8.593621,7.781088,7.781081,7.781081,7.781081]
[9.000051,9.000059,9.000051,9.000051,8.121226,8.121219,8.121219,8.121219]
[9.425702,9.425711,9.425702,9.425702,8.476233,8.476225,8.476225,8.476225]
[9.871484,9.871494,9.871484,9.871484,8.846759,8.846750,8.846750,8.846750]
[10.338349,10.338359,10.338349,10.338349,9.233481,9.233473,9.233473,9.233473]
[10.827295,10.827305,10.827295,10.827295,9.637109,9.637100,9.637100,9.637100]
[11.339364,11.339375,11.339364,11.339364,10.058380,10.058371,10.058371,10.058371]
[11.875652,11.875663,11.875652,11.875652,10.498067,10.498057,10.498057,10.498057]
[12.437302,12.437314,12.437302,12.437302,10.956974,10.956964,10.956964,10.956964]
[13.025516,13.025528,13.025516,13.025516,11.435948,11.435931,11.435931,11.435931]
[13.641549,13.641562,13.641549,13.641549,11.935853,11.935835,11.935835,11.935835]
[14.286717,14.286730,14.286717,14.286717,12.457615,12.457592,12.457592,12.457592]
[10.839414,14.962412,14.962397,14.962397,13.002181,13.002156,13.002156,13.002156]
[11.352057,15.670060,15.670034,15.670034,13.570551,13.570526,13.570526,13.570526]
[11.888945,16.411165,16.411137,16.411137,14.163767,14.163741,14.163741,14.163741]
[12.451224,17.187320,17.187291,17.187291,14.782915,14.782887,14.782887,14.782902]
[13.040102,18.000191,18.000152,18.000152,15.429127,15.429098,15.429098,15.429114]
[13.656825,18.851497,18.851468,18.851457,16.103588,16.103563,16.103558,16.103574]
[14.302715,19.743066,19.743035,19.743024,16.807532,16.807506,16.807500,16.807517]
[14.979152,20.676801,18.424779,20.676757,17.542247,17.542220,17.542214,17.542232]
[15.687581,21.654696,19.296166,21.654650,18.309080,18.309052,18.309055,18.309064]
[16.429514,22.678840,20.208765,22.678792,16.532497,19.109404,19.109407,19.109416]
[17.206537,23.751421,21.164539,23.751370,17.255190,19.944742,19.944746,19.944755]
[18.020308,24.874728,22.165502,24.874675,18.009479,20.816596,20.816605,20.816610]
[18.872567,26.051161,23.213804,26.051106,18.796736,21.726562,21.726571,21.726576]
[19.765132,27.283238,20.528870,27.283175,19.618407,22.676311,22.676315,22.676320]
[20.699910,28.573581,21.499769,28.573514,20.475995,23.667571,23.667576,23.667587]
[21.678898,29.924954,22.516586,29.924879,21.371072,24.702163,24.702168,24.702180]
[19.569285,31.340241,23.581492,31.340156,22.305276,25.781987,25.781985,21.372801]
[18.135769,32.822456,22.336944,32.822367,23.280317,26.909007,26.909005,22.307080]
[18.993488,34.374772,23.393354,34.374679,24.297981,28.085301,28.085291,23.282200]
[19.891772,36.000512,21.334443,36.000406,25.360130,29.313007,29.312997,24.299946]
